Tarih,Gerçek,Tahmin,Alt_Sınır,Üst_Sınır
2025-10-15,4163.622,4165.436134817841,4089.8640025991554,4242.40468196975
2025-10-16,4207.5146,4164.674610020977,4090.345976335255,4240.353923042272
2025-10-17,4365.3158,4208.5848902798125,4133.289755471023,4285.251658257645
2025-10-18,4365.3158,4366.42128900326,4272.015051991588,4462.913786825871
2025-10-19,4365.3158,4366.422845169726,4273.792744343333,4461.060609000007
2025-10-20,4236.7316,4366.424461715096,4275.496858631802,4459.285835135697
2025-10-21,4359.426,4237.781056082279,4140.107649019017,4337.758773867898
2025-10-22,4052.8656,4360.514329787883,4252.3866833035245,4471.391394141542
2025-10-23,4091.07,4053.8353233510134,3902.378363916008,4211.170546865538
2025-10-24,4123.4903,4092.0494641943906,3942.290389167856,4247.497562184436
2025-10-25,4123.4903,4124.47811769663,3976.762780538684,4277.680284729987
2025-10-26,4123.4903,4124.477429197061,3980.3705115622947,4273.801651012396
2025-10-27,4064.2889,4124.47684463679,3983.834618101973,4270.084195927235
2025-10-28,3996.5478,4065.258495843336,3928.0009615472613,4207.312268965588
2025-10-29,3947.7009,3997.4981337855443,3863.161783850566,4136.5058529055505
2025-10-30,4040.502,3948.6371086510153,3817.6872239709637,4084.078684580694
2025-10-31,4002.7699,4041.4649911359697,3905.8710909908764,4181.766088556202
2025-11-01,4002.7699,4003.721898704524,3871.7080797102703,4140.236999315741
2025-11-02,4002.7699,4003.721532491622,3874.7504782983547,4136.985387708564
2025-11-03,4001.5206,4003.7212175602417,3877.693196746426,4133.845246290201
2025-11-04,3932.085,4002.471356684531,3879.332227218037,4129.519211755751
2025-11-05,3979.7036,3933.0154698356123,3811.8862562334907,4057.993771632292
2025-11-06,3977.1552,3980.647813502532,3859.5265398533447,4105.57016554279
2025-11-07,4001.2804,3978.0986027693807,3859.7594770933065,4100.065972316321
2025-11-08,4001.2804,4002.2309513655964,3885.5062404497207,4122.462195869441
2025-11-09,4001.2804,4002.2311145284257,3888.100714919166,4119.711671211803
2025-11-10,4115.4338,4002.231371569179,3890.6316503535068,4117.032243367761
2025-11-11,4126.6809,4116.418408272911,3996.2700730390075,4240.179017501226
2025-11-12,4195.2732,4127.669313862839,4009.8049590425317,4248.998177874767
2025-11-13,4171.49,4196.282245841354,4076.3869843992647,4319.703883403099
2025-11-14,4083.3509,4172.492412780269,4055.5542741486297,4292.802353967675
2025-11-15,4083.3509,4084.325392861782,3967.648041640396,4204.433896278414
2025-11-16,4083.3509,4084.325812195151,3970.229394379903,4201.701131873525
2025-11-17,4045.7984,4084.326315572959,3972.755480764996,4199.030504859953
2025-11-18,4067.5539,4046.7625646620904,3937.7180713348553,4158.82675145381
2025-11-19,4077.871,4068.5252614435753,3961.040930847082,4178.926219645152
2025-11-20,4077.5717,4078.8462814859404,3973.426757959954,4187.062704669932
2025-11-21,4065.0737,4078.5477299354666,3975.4876442446034,4184.279533466526
2025-11-22,4065.0737,4066.046609800951,3965.479024340028,4169.164666260047
2025-11-23,4065.0737,4066.0475670787514,3967.747249737378,4166.783259402757
2025-11-24,4134.3926,4066.048656901782,3969.982408470779,4164.439531272668
2025-11-25,4130.7123,4135.389469136455,4036.3127130045327,4236.898198285234
2025-11-26,4163.7347,4131.709258806147,4034.9472087533736,4230.791759126547
2025-11-27,4158.1426,4164.7435898856265,4068.6369948491792,4263.120349997305
2025-11-28,4217.3637,4159.151182977113,4065.3441563465562,4255.1227885232165
2025-11-29,4217.3637,4218.391855542781,4122.698454549128,4316.306429657555
2025-11-30,4217.3637,4218.393697308729,4124.897923369934,4314.008665445009
2025-12-01,4232.1056,4218.395635475314,4127.066531981301,4311.745788322512
2025-12-02,4205.7981,4233.144717793064,4143.481700453594,4324.748001135769
2025-12-03,4203.1906,4206.829096518985,4119.156687298108,4296.36753122083
2025-12-04,4208.8605,4204.222765436522,4118.672825920859,4291.5496832314675
2025-12-05,4198.2409,4209.8970035123675,4126.2692428084265,4295.219661458545
2025-12-06,4198.2409,4199.2755715931735,4117.745957286105,4282.4194375024545
2025-12-07,4198.2409,4199.277982873681,4119.746521023817,4280.344794869893
2025-12-08,4190.7109,4199.280515140828,4121.72150360412,4278.298965473995
2025-12-09,4208.1609,4191.749993589894,4116.187000584015,4268.700135894676
2025-12-10,4228.7321,4209.209343315742,4134.93143648834,4284.821542507455
2025-12-11,4279.4663,4229.791244603132,4156.580621414244,4304.291340037571
2025-12-12,4299.8732,4280.544496932237,4205.302648104355,4357.132583186712
2025-12-13,4299.8732,4300.96233084397,4226.787584759364,4376.4387493799095
